,Match Runs,Match SR,Total Runs,Total Balls,Ave,Career SR,HS,NO,0,50,100,Opposition,Ground,match_id,player_id
0,0,0.00,0,2,0.00,0.00,0,0,1,0,0,Pakistan,Gujranwala,593,35320
1,0,0.00,0,4,0.00,0.00,0,0,2,0,0,New Zealand,Dunedin,612,35320
2,36,92.30,36,43,12.00,83.72,36,0,2,0,0,New Zealand,Wellington,616,35320
3,10,83.33,46,55,11.50,83.63,36,0,2,0,0,Sri Lanka,Sharjah,623,35320
4,20,80.00,66,80,13.20,82.50,36,0,2,0,0,Pakistan,Sharjah,625,35320
5,19,54.28,85,115,14.16,73.91,36,0,2,0,0,England,Leeds,634,35320
6,31,119.23,116,141,16.57,82.26,36,0,2,0,0,England,Nottingham,635,35320
7,36,163.63,152,163,19.00,93.25,36,0,2,0,0,Sri Lanka,Nagpur,644,35320
8,53,129.26,205,204,22.77,100.49,53,0,2,1,0,Sri Lanka,Pune,646,35320
9,30,103.44,235,233,23.50,100.85,53,0,2,1,0,Sri Lanka,Margao,648,35320
11,4,36.36,239,244,21.72,97.95,53,0,2,1,0,Sri Lanka,Cuttack,658,35320
12,53,75.71,292,314,24.33,92.99,53,0,2,2,0,Sri Lanka,Kolkata,661,35320
13,52*,130.00,344,354,28.66,97.17,53,1,2,3,0,Pakistan,Sharjah,680,35320
14,22,81.48,366,381,28.15,96.06,53,1,2,3,0,West Indies,Sharjah,681,35320
15,11*,40.74,377,408,29.00,92.40,53,2,2,3,0,West Indies,Sharjah,683,35320
16,49,128.94,426,446,30.42,95.51,53,2,2,3,0,Pakistan,Sharjah,684,35320
17,0,0.00,426,447,28.40,95.30,53,2,3,3,0,Pakistan,Sharjah,685,35320
18,62,84.93,488,520,30.50,93.84,62,2,3,4,0,South Africa,Kolkata,686,35320
19,4,50.00,492,528,28.94,93.18,62,2,3,4,0,South Africa,Gwalior,687,35320
20,1,33.33,493,531,27.38,92.84,62,2,3,4,0,South Africa,New Delhi,688,35320
21,1,11.11,494,540,26.00,91.48,62,2,3,4,0,West Indies,Perth,692,35320
22,36,55.38,530,605,26.50,87.60,62,2,3,4,0,Australia,Perth,693,35320
23,57,53.27,587,712,27.95,82.44,62,2,3,5,0,Australia,Hobart,694,35320
24,48,84.21,635,769,28.86,82.57,62,2,3,5,0,West Indies,Adelaide,696,35320
25,21,60.00,656,804,28.52,81.59,62,2,3,5,0,Australia,Adelaide,697,35320
26,77,60.62,733,931,30.54,78.73,77,2,3,6,0,West Indies,Brisbane,702,35320
27,31,70.45,764,975,30.56,78.35,77,2,3,6,0,Australia,Sydney,705,35320
28,57*,64.77,821,1063,32.84,77.23,77,3,3,7,0,West Indies,Melbourne,707,35320
29,4,40.00,825,1073,31.73,76.88,77,3,3,7,0,Australia,Melbourne,709,35320
30,69,69.00,894,1173,33.11,76.21,77,3,3,8,0,Australia,Sydney,711,35320
31,35,79.54,929,1217,33.17,76.33,77,3,3,8,0,England,Perth,715,35320
33,11,57.89,940,1236,32.41,76.05,77,3,3,8,0,Australia,Brisbane,725,35320
34,54*,87.09,994,1298,34.27,76.57,77,4,3,9,0,Pakistan,Sydney,729,35320
35,81,105.19,1075,1375,35.83,78.18,81,4,3,10,0,Zimbabwe,Hamilton,732,35320
36,4,36.36,1079,1386,34.80,77.84,81,4,3,10,0,West Indies,Wellington,737,35320
37,84,78.50,1163,1493,36.34,77.89,84,4,3,11,0,New Zealand,Dunedin,740,35320
38,14,100.00,1177,1507,35.66,78.10,84,4,3,11,0,South Africa,Adelaide,745,35320
39,39,69.64,1216,1563,35.76,77.79,84,4,3,11,0,Zimbabwe,Harare,764,35320
40,15,55.55,1231,1590,35.17,77.42,84,4,3,11,0,South Africa,Cape Town,770,35320
41,10,27.77,1241,1626,34.47,76.32,84,4,3,11,0,South Africa,Port Elizabeth,772,35320
42,22,91.66,1263,1650,34.13,76.54,84,4,3,11,0,South Africa,Centurion,774,35320
43,21,47.72,1284,1694,33.78,75.79,84,4,3,11,0,South Africa,Johannesburg,779,35320
44,32,61.53,1316,1746,33.74,75.37,84,4,3,11,0,South Africa,Bloemfontein,781,35320
45,23,58.97,1339,1785,33.47,75.01,84,4,3,11,0,South Africa,Durban,783,35320
46,21,55.26,1360,1823,33.17,74.60,84,4,3,11,0,South Africa,East London,784,35320
47,82*,101.23,1442,1904,35.17,75.73,84,5,3,12,0,England,Jaipur,794,35320
48,1,20.00,1443,1909,34.35,75.58,84,5,3,12,0,England,Chandigarh,795,35320
49,3,50.00,1446,1915,33.62,75.50,84,5,3,12,0,England,Bengaluru,809,35320
50,24,75.00,1470,1947,33.40,75.50,84,5,3,12,0,England,Jamshedpur,811,35320
51,5,83.33,1475,1953,32.77,75.52,84,5,3,12,0,England,Gwalior,813,35320
52,34,113.33,1509,1983,32.80,76.09,84,5,3,12,0,England,Gwalior,814,35320
53,3,33.33,1512,1992,32.17,75.90,84,5,3,12,0,Zimbabwe,Faridabad,817,35320
54,8*,133.33,1520,1998,32.34,76.07,84,6,3,12,0,Zimbabwe,Guwahati,820,35320
56,21,53.84,1541,2037,32.10,75.65,84,6,3,12,0,Sri Lanka,Colombo (RPS),833,35320
57,15,50.00,1556,2067,31.75,75.27,84,6,3,12,0,Sri Lanka,Colombo (RPS),834,35320
58,25,64.10,1581,2106,31.62,75.07,84,6,3,12,0,Sri Lanka,Moratuwa,835,35320
59,26*,86.66,1607,2136,32.14,75.23,84,7,3,12,0,Sri Lanka,Kanpur,846,35320
60,2,25.00,1609,2144,31.54,75.04,84,7,3,12,0,West Indies,Ahmedabad,851,35320
61,24,150.00,1633,2160,31.40,75.60,84,7,3,12,0,Zimbabwe,Indore,852,35320
62,3,12.00,1636,2185,30.86,74.87,84,7,3,12,0,South Africa,Mohali,855,35320
63,15,48.38,1651,2216,30.57,74.50,84,7,3,12,0,South Africa,Kolkata,856,35320
64,28*,65.11,1679,2259,31.09,74.32,84,8,3,12,0,West Indies,Kolkata,858,35320
65,1,20.00,1680,2264,30.54,74.20,84,8,3,12,0,Sri Lanka,Rajkot,879,35320
66,11*,61.11,1691,2282,30.74,74.10,84,9,3,12,0,Sri Lanka,Hyderabad (Deccan),881,35320
67,52,82.53,1743,2345,31.12,74.32,84,9,3,13,0,Sri Lanka,Jalandhar,883,35320
68,15,78.94,1758,2364,30.84,74.36,84,9,3,13,0,New Zealand,Napier,896,35320
69,82,167.34,1840,2413,31.72,76.25,84,9,3,14,0,New Zealand,Auckland,897,35320
70,63,84.00,1903,2488,32.25,76.48,84,9,3,15,0,New Zealand,Wellington,898,35320
71,40,153.84,1943,2514,32.38,77.28,84,9,3,15,0,New Zealand,Christchurch,899,35320
72,63,81.81,2006,2591,32.88,77.42,84,9,3,16,0,U.A.E.,Sharjah,904,35320
73,73,114.06,2079,2655,33.53,78.30,84,9,3,17,0,Pakistan,Sharjah,906,35320
74,6,85.71,2085,2662,33.09,78.32,84,9,3,17,0,Australia,Sharjah,910,35320
75,24,92.30,2109,2688,32.95,78.45,84,9,3,17,0,Pakistan,Sharjah,912,35320
76,11*,68.75,2120,2704,33.12,78.40,84,10,3,17,0,Sri Lanka,Colombo (RPS),921,35320
77,6,120.00,2126,2709,32.70,78.47,84,10,3,17,0,Sri Lanka,Colombo (RPS),922,35320
78,110,84.61,2236,2839,33.87,78.76,110,10,3,17,1,Australia,Colombo (RPS),924,35320
79,0,0.00,2236,2841,33.37,78.70,110,10,4,17,1,Sri Lanka,Colombo (SSC),927,35320
80,0,0.00,2236,2845,32.88,78.59,110,10,5,17,1,West Indies,Faridabad,931,35320
81,0,0.00,2236,2849,32.40,78.48,110,10,6,17,1,West Indies,Mumbai,933,35320
82,8,33.33,2244,2873,32.05,78.10,110,10,6,17,1,West Indies,Chennai,936,35320
83,115,84.55,2359,3009,33.22,78.39,115,10,6,17,2,New Zealand,Vadodara,939,35320
84,34,72.34,2393,3056,33.23,78.30,115,10,6,17,2,West Indies,Kanpur,941,35320
85,62,114.81,2455,3110,33.63,78.93,115,10,6,18,2,New Zealand,Delhi,944,35320
86,66,97.05,2521,3178,34.06,79.32,115,10,6,19,2,West Indies,Kolkata,947,35320
87,54,84.37,2575,3242,34.33,79.42,115,10,6,20,2,West Indies,Visakhapatnam,949,35320
88,88,78.57,2663,3354,35.03,79.39,115,10,6,21,2,West Indies,Cuttack,950,35320
89,105,78.35,2768,3488,35.94,79.35,115,10,6,21,3,West Indies,Jaipur,951,35320
90,13,86.66,2781,3503,35.65,79.38,115,10,6,21,3,New Zealand,Napier,976,35320
91,37,72.54,2818,3554,35.67,79.29,115,10,6,21,3,South Africa,Hamilton,977,35320
92,47,117.50,2865,3594,35.81,79.71,115,10,6,21,3,Australia,Dunedin,979,35320
93,48,160.00,2913,3624,35.96,80.38,115,10,6,21,3,Bangladesh,Sharjah,993,35320
94,4,44.44,2917,3633,35.57,80.29,115,10,6,21,3,Pakistan,Sharjah,995,35320
95,112*,104.67,3029,3740,36.93,80.98,115,11,6,21,4,Sri Lanka,Sharjah,997,35320
96,41,100.00,3070,3781,36.98,81.19,115,11,6,21,4,Sri Lanka,Sharjah,999,35320
97,30,150.00,3100,3801,36.90,81.55,115,11,6,21,4,New Zealand,Jamshedpur,1015,35320
98,39,76.47,3139,3852,36.92,81.49,115,11,6,21,4,New Zealand,Amritsar,1016,35320
99,7,63.63,3146,3863,36.58,81.43,115,11,6,21,4,New Zealand,Pune,1017,35320
100,65,110.16,3211,3922,36.90,81.87,115,11,6,22,4,New Zealand,Nagpur,1018,35320
101,1,25.00,3212,3926,36.50,81.81,115,11,6,22,4,New Zealand,Mumbai (BS),1019,35320
102,127*,92.02,3339,4064,37.94,82.16,127*,12,6,22,5,Kenya,Cuttack,1052,35320
103,70,76.92,3409,4155,38.30,82.04,127*,12,6,23,5,West Indies,Gwalior,1056,35320
104,90,107.14,3499,4239,38.87,82.54,127*,12,6,24,5,Australia,Mumbai,1065,35320
