,Mat,NO,Total Runs,HS,Ave,Total Balls,Career SR,100,50,0,Opposition,match_id,player_id,Match Runs,Match SR,Ground
0,1,0,0,0,0.00,2,0.00,0,0,1,v Pakistan,ODI # 593,35320,0,0.00,Gujranwala
1,2,0,0,0,0.00,4,0.00,0,0,2,v New Zealand,ODI # 612,35320,0,0.00,Dunedin
2,3,0,36,36,12.00,43,83.72,0,0,2,v New Zealand,ODI # 616,35320,36,92.30,Wellington
3,4,0,46,36,11.50,55,83.63,0,0,2,v Sri Lanka,ODI # 623,35320,10,83.33,Sharjah
4,5,0,66,36,13.20,80,82.50,0,0,2,v Pakistan,ODI # 625,35320,20,80.00,Sharjah
5,6,0,85,36,14.16,115,73.91,0,0,2,v England,ODI # 634,35320,19,54.28,Leeds
6,7,0,116,36,16.57,141,82.26,0,0,2,v England,ODI # 635,35320,31,119.23,Nottingham
7,8,0,152,36,19.00,163,93.25,0,0,2,v Sri Lanka,ODI # 644,35320,36,163.63,Nagpur
8,9,0,205,53,22.77,204,100.49,0,1,2,v Sri Lanka,ODI # 646,35320,53,129.26,Pune
9,10,0,235,53,23.50,233,100.85,0,1,2,v Sri Lanka,ODI # 648,35320,30,103.44,Margao
10,11,0,235,53,23.50,233,100.85,0,1,2,v Bangladesh,ODI # 657,35320,DNB,-,Chandigarh
11,12,0,239,53,21.72,244,97.95,0,1,2,v Sri Lanka,ODI # 658,35320,4,36.36,Cuttack
12,13,0,292,53,24.33,314,92.99,0,2,2,v Sri Lanka,ODI # 661,35320,53,75.71,Kolkata
13,14,1,344,53,28.66,354,97.17,0,3,2,v Pakistan,ODI # 680,35320,52*,130.00,Sharjah
14,15,1,366,53,28.15,381,96.06,0,3,2,v West Indies,ODI # 681,35320,22,81.48,Sharjah
15,16,2,377,53,29.00,408,92.40,0,3,2,v West Indies,ODI # 683,35320,11*,40.74,Sharjah
16,17,2,426,53,30.42,446,95.51,0,3,2,v Pakistan,ODI # 684,35320,49,128.94,Sharjah
17,18,2,426,53,28.40,447,95.30,0,3,3,v Pakistan,ODI # 685,35320,0,0.00,Sharjah
18,19,2,488,62,30.50,520,93.84,0,4,3,v South Africa,ODI # 686,35320,62,84.93,Kolkata
19,20,2,492,62,28.94,528,93.18,0,4,3,v South Africa,ODI # 687,35320,4,50.00,Gwalior
20,21,2,493,62,27.38,531,92.84,0,4,3,v South Africa,ODI # 688,35320,1,33.33,New Delhi
21,22,2,494,62,26.00,540,91.48,0,4,3,v West Indies,ODI # 692,35320,1,11.11,Perth
22,23,2,530,62,26.50,605,87.60,0,4,3,v Australia,ODI # 693,35320,36,55.38,Perth
23,24,2,587,62,27.95,712,82.44,0,5,3,v Australia,ODI # 694,35320,57,53.27,Hobart
24,25,2,635,62,28.86,769,82.57,0,5,3,v West Indies,ODI # 696,35320,48,84.21,Adelaide
25,26,2,656,62,28.52,804,81.59,0,5,3,v Australia,ODI # 697,35320,21,60.00,Adelaide
26,27,2,733,77,30.54,931,78.73,0,6,3,v West Indies,ODI # 702,35320,77,60.62,Brisbane
27,28,2,764,77,30.56,975,78.35,0,6,3,v Australia,ODI # 705,35320,31,70.45,Sydney
28,29,3,821,77,32.84,1063,77.23,0,7,3,v West Indies,ODI # 707,35320,57*,64.77,Melbourne
29,30,3,825,77,31.73,1073,76.88,0,7,3,v Australia,ODI # 709,35320,4,40.00,Melbourne
30,31,3,894,77,33.11,1173,76.21,0,8,3,v Australia,ODI # 711,35320,69,69.00,Sydney
31,32,3,929,77,33.17,1217,76.33,0,8,3,v England,ODI # 715,35320,35,79.54,Perth
32,33,3,929,77,33.17,1217,76.33,0,8,3,v Sri Lanka,ODI # 722,35320,DNB,-,Mackay
33,34,3,940,77,32.41,1236,76.05,0,8,3,v Australia,ODI # 725,35320,11,57.89,Brisbane
34,35,4,994,77,34.27,1298,76.57,0,9,3,v Pakistan,ODI # 729,35320,54*,87.09,Sydney
35,36,4,1075,81,35.83,1375,78.18,0,10,3,v Zimbabwe,ODI # 732,35320,81,105.19,Hamilton
36,37,4,1079,81,34.80,1386,77.84,0,10,3,v West Indies,ODI # 737,35320,4,36.36,Wellington
37,38,4,1163,84,36.34,1493,77.89,0,11,3,v New Zealand,ODI # 740,35320,84,78.50,Dunedin
38,39,4,1177,84,35.66,1507,78.10,0,11,3,v South Africa,ODI # 745,35320,14,100.00,Adelaide
39,40,4,1216,84,35.76,1563,77.79,0,11,3,v Zimbabwe,ODI # 764,35320,39,69.64,Harare
40,41,4,1231,84,35.17,1590,77.42,0,11,3,v South Africa,ODI # 770,35320,15,55.55,Cape Town
41,42,4,1241,84,34.47,1626,76.32,0,11,3,v South Africa,ODI # 772,35320,10,27.77,Port Elizabeth
42,43,4,1263,84,34.13,1650,76.54,0,11,3,v South Africa,ODI # 774,35320,22,91.66,Centurion
43,44,4,1284,84,33.78,1694,75.79,0,11,3,v South Africa,ODI # 779,35320,21,47.72,Johannesburg
44,45,4,1316,84,33.74,1746,75.37,0,11,3,v South Africa,ODI # 781,35320,32,61.53,Bloemfontein
45,46,4,1339,84,33.47,1785,75.01,0,11,3,v South Africa,ODI # 783,35320,23,58.97,Durban
46,47,4,1360,84,33.17,1823,74.60,0,11,3,v South Africa,ODI # 784,35320,21,55.26,East London
47,48,5,1442,84,35.17,1904,75.73,0,12,3,v England,ODI # 794,35320,82*,101.23,Jaipur
48,49,5,1443,84,34.35,1909,75.58,0,12,3,v England,ODI # 795,35320,1,20.00,Chandigarh
49,50,5,1446,84,33.62,1915,75.50,0,12,3,v England,ODI # 809,35320,3,50.00,Bengaluru
50,51,5,1470,84,33.40,1947,75.50,0,12,3,v England,ODI # 811,35320,24,75.00,Jamshedpur
51,52,5,1475,84,32.77,1953,75.52,0,12,3,v England,ODI # 813,35320,5,83.33,Gwalior
52,53,5,1509,84,32.80,1983,76.09,0,12,3,v England,ODI # 814,35320,34,113.33,Gwalior
53,54,5,1512,84,32.17,1992,75.90,0,12,3,v Zimbabwe,ODI # 817,35320,3,33.33,Faridabad
54,55,6,1520,84,32.34,1998,76.07,0,12,3,v Zimbabwe,ODI # 820,35320,8*,133.33,Guwahati
55,56,6,1520,84,32.34,1998,76.07,0,12,3,v Zimbabwe,ODI # 823,35320,DNB,-,Pune
56,57,6,1541,84,32.10,2037,75.65,0,12,3,v Sri Lanka,ODI # 833,35320,21,53.84,Colombo (RPS)
57,58,6,1556,84,31.75,2067,75.27,0,12,3,v Sri Lanka,ODI # 834,35320,15,50.00,Colombo (RPS)
58,59,6,1581,84,31.62,2106,75.07,0,12,3,v Sri Lanka,ODI # 835,35320,25,64.10,Moratuwa
59,60,7,1607,84,32.14,2136,75.23,0,12,3,v Sri Lanka,ODI # 846,35320,26*,86.66,Kanpur
60,61,7,1609,84,31.54,2144,75.04,0,12,3,v West Indies,ODI # 851,35320,2,25.00,Ahmedabad
61,62,7,1633,84,31.40,2160,75.60,0,12,3,v Zimbabwe,ODI # 852,35320,24,150.00,Indore
62,63,7,1636,84,30.86,2185,74.87,0,12,3,v South Africa,ODI # 855,35320,3,12.00,Mohali
63,64,7,1651,84,30.57,2216,74.50,0,12,3,v South Africa,ODI # 856,35320,15,48.38,Kolkata
64,65,8,1679,84,31.09,2259,74.32,0,12,3,v West Indies,ODI # 858,35320,28*,65.11,Kolkata
65,66,8,1680,84,30.54,2264,74.20,0,12,3,v Sri Lanka,ODI # 879,35320,1,20.00,Rajkot
66,67,9,1691,84,30.74,2282,74.10,0,12,3,v Sri Lanka,ODI # 881,35320,11*,61.11,Hyderabad (Deccan)
