Match Runs,Match SR,Total Runs,Total Balls,Ave,Career SR,HS,NO,0,50,100,Opposition,Ground,match_id,player_id,m1,m2,m3,m4,m5
19.0,54.28,66.0,115,14.16,73.91,36.0,0,2,0,0,England,Leeds,634,35320,0.0,0.0,36.0,10.0,20.0
31.0,119.23,85.0,141,16.57,82.26,36.0,0,2,0,0,England,Nottingham,635,35320,0.0,36.0,10.0,20.0,19.0
36.0,163.63,116.0,163,19.0,93.25,36.0,0,2,0,0,Sri Lanka,Nagpur,644,35320,36.0,10.0,20.0,19.0,31.0
53.0,129.26,152.0,204,22.77,100.49,53.0,0,2,0,0,Sri Lanka,Pune,646,35320,10.0,20.0,19.0,31.0,36.0
30.0,103.44,205.0,233,23.5,100.85,53.0,0,2,1,0,Sri Lanka,Margao,648,35320,20.0,19.0,31.0,36.0,53.0
4.0,36.36,235.0,244,21.72,97.95,53.0,0,2,1,0,Sri Lanka,Cuttack,658,35320,19.0,31.0,36.0,53.0,30.0
53.0,75.71,239.0,314,24.33,92.99,53.0,0,2,1,0,Sri Lanka,Kolkata,661,35320,31.0,36.0,53.0,30.0,4.0
52.0,130.00,292.0,354,28.66,97.17,53.0,0,2,2,0,Pakistan,Sharjah,680,35320,36.0,53.0,30.0,4.0,53.0
22.0,81.48,344.0,381,28.15,96.06,53.0,1,2,3,0,West Indies,Sharjah,681,35320,53.0,30.0,4.0,53.0,52.0
11.0,40.74,366.0,408,29.0,92.40,53.0,1,2,3,0,West Indies,Sharjah,683,35320,30.0,4.0,53.0,52.0,22.0
49.0,128.94,377.0,446,30.42,95.51,53.0,2,2,3,0,Pakistan,Sharjah,684,35320,4.0,53.0,52.0,22.0,11.0
0.0,0.00,426.0,447,28.4,95.30,53.0,2,2,3,0,Pakistan,Sharjah,685,35320,53.0,52.0,22.0,11.0,49.0
62.0,84.93,426.0,520,30.5,93.84,62.0,2,3,3,0,South Africa,Kolkata,686,35320,52.0,22.0,11.0,49.0,0.0
4.0,50.00,488.0,528,28.94,93.18,62.0,2,3,4,0,South Africa,Gwalior,687,35320,22.0,11.0,49.0,0.0,62.0
1.0,33.33,492.0,531,27.38,92.84,62.0,2,3,4,0,South Africa,New Delhi,688,35320,11.0,49.0,0.0,62.0,4.0
1.0,11.11,493.0,540,26.0,91.48,62.0,2,3,4,0,West Indies,Perth,692,35320,49.0,0.0,62.0,4.0,1.0
36.0,55.38,494.0,605,26.5,87.60,62.0,2,3,4,0,Australia,Perth,693,35320,0.0,62.0,4.0,1.0,1.0
