Match Runs,Total Runs,Ave,Career SR,HS,Opposition,Ground,m1,m2,m3,m4,m5,Records,class
19.0,66.0,14.16,73.91,36.0,England,Leeds,0.0,0.0,36.0,10.0,20.0,-10,1.0
31.0,85.0,16.57,82.26,36.0,England,Nottingham,0.0,36.0,10.0,20.0,19.0,-10,2.0
36.0,116.0,19.0,93.25,36.0,Sri Lanka,Nagpur,36.0,10.0,20.0,19.0,31.0,-10,2.0
53.0,152.0,22.77,100.49,53.0,Sri Lanka,Pune,10.0,20.0,19.0,31.0,36.0,-10,3.0
30.0,205.0,23.5,100.85,53.0,Sri Lanka,Margao,20.0,19.0,31.0,36.0,53.0,0,2.0
4.0,235.0,21.72,97.95,53.0,Sri Lanka,Cuttack,19.0,31.0,36.0,53.0,30.0,0,1.0
53.0,239.0,24.33,92.99,53.0,Sri Lanka,Kolkata,31.0,36.0,53.0,30.0,4.0,0,3.0
52.0,292.0,28.66,97.17,53.0,Pakistan,Sharjah,36.0,53.0,30.0,4.0,53.0,10,3.0
22.0,344.0,28.15,96.06,53.0,West Indies,Sharjah,53.0,30.0,4.0,53.0,52.0,25,2.0
11.0,366.0,29.0,92.4,53.0,West Indies,Sharjah,30.0,4.0,53.0,52.0,22.0,25,1.0
49.0,377.0,30.42,95.51,53.0,Pakistan,Sharjah,4.0,53.0,52.0,22.0,11.0,30,3.0
0.0,426.0,28.4,95.3,53.0,Pakistan,Sharjah,53.0,52.0,22.0,11.0,49.0,30,1.0
62.0,426.0,30.5,93.84,62.0,South Africa,Kolkata,52.0,22.0,11.0,49.0,0.0,25,4.0
4.0,488.0,28.94,93.18,62.0,South Africa,Gwalior,22.0,11.0,49.0,0.0,62.0,35,1.0
1.0,492.0,27.38,92.84,62.0,South Africa,New Delhi,11.0,49.0,0.0,62.0,4.0,35,1.0
1.0,493.0,26.0,91.48,62.0,West Indies,Perth,49.0,0.0,62.0,4.0,1.0,35,1.0
36.0,494.0,26.5,87.6,62.0,Australia,Perth,0.0,62.0,4.0,1.0,1.0,35,2.0
57.0,530.0,27.95,82.44,62.0,Australia,Hobart,62.0,4.0,1.0,1.0,36.0,35,3.0
48.0,587.0,28.86,82.57,62.0,West Indies,Adelaide,4.0,1.0,1.0,36.0,57.0,45,3.0
21.0,635.0,28.52,81.59,62.0,Australia,Adelaide,1.0,1.0,36.0,57.0,48.0,45,2.0
77.0,656.0,30.54,78.73,77.0,West Indies,Brisbane,1.0,36.0,57.0,48.0,21.0,45,4.0
31.0,733.0,30.56,78.35,77.0,Australia,Sydney,36.0,57.0,48.0,21.0,77.0,55,2.0
57.0,764.0,32.84,77.23,77.0,West Indies,Melbourne,57.0,48.0,21.0,77.0,31.0,55,3.0
4.0,821.0,31.73,76.88,77.0,Australia,Melbourne,48.0,21.0,77.0,31.0,57.0,70,1.0
69.0,825.0,33.11,76.21,77.0,Australia,Sydney,21.0,77.0,31.0,57.0,4.0,70,4.0
35.0,894.0,33.17,76.33,77.0,England,Perth,77.0,31.0,57.0,4.0,69.0,80,2.0
11.0,929.0,32.41,76.05,77.0,Australia,Brisbane,31.0,57.0,4.0,69.0,35.0,80,1.0
54.0,940.0,34.27,76.57,77.0,Pakistan,Sydney,57.0,4.0,69.0,35.0,11.0,80,3.0
81.0,994.0,35.83,78.18,81.0,Zimbabwe,Hamilton,4.0,69.0,35.0,11.0,54.0,95,5.0
4.0,1075.0,34.8,77.84,81.0,West Indies,Wellington,69.0,35.0,11.0,54.0,81.0,105,1.0
84.0,1079.0,36.34,77.89,84.0,New Zealand,Dunedin,35.0,11.0,54.0,81.0,4.0,105,5.0
14.0,1163.0,35.66,78.1,84.0,South Africa,Adelaide,11.0,54.0,81.0,4.0,84.0,115,1.0
39.0,1177.0,35.76,77.79,84.0,Zimbabwe,Harare,54.0,81.0,4.0,84.0,14.0,115,2.0
15.0,1216.0,35.17,77.42,84.0,South Africa,Cape Town,81.0,4.0,84.0,14.0,39.0,115,1.0
10.0,1231.0,34.47,76.32,84.0,South Africa,Port Elizabeth,4.0,84.0,14.0,39.0,15.0,115,1.0
22.0,1241.0,34.13,76.54,84.0,South Africa,Centurion,84.0,14.0,39.0,15.0,10.0,115,2.0
21.0,1263.0,33.78,75.79,84.0,South Africa,Johannesburg,14.0,39.0,15.0,10.0,22.0,115,2.0
32.0,1284.0,33.74,75.37,84.0,South Africa,Bloemfontein,39.0,15.0,10.0,22.0,21.0,115,2.0
23.0,1316.0,33.47,75.01,84.0,South Africa,Durban,15.0,10.0,22.0,21.0,32.0,115,2.0
21.0,1339.0,33.17,74.6,84.0,South Africa,East London,10.0,22.0,21.0,32.0,23.0,115,2.0
82.0,1360.0,35.17,75.73,84.0,England,Jaipur,22.0,21.0,32.0,23.0,21.0,115,5.0
1.0,1442.0,34.35,75.58,84.0,England,Chandigarh,21.0,32.0,23.0,21.0,82.0,130,1.0
3.0,1443.0,33.62,75.5,84.0,England,Bengaluru,32.0,23.0,21.0,82.0,1.0,130,1.0
24.0,1446.0,33.4,75.5,84.0,England,Jamshedpur,23.0,21.0,82.0,1.0,3.0,130,2.0
5.0,1470.0,32.77,75.52,84.0,England,Gwalior,21.0,82.0,1.0,3.0,24.0,130,1.0
34.0,1475.0,32.8,76.09,84.0,England,Gwalior,82.0,1.0,3.0,24.0,5.0,130,2.0
3.0,1509.0,32.17,75.9,84.0,Zimbabwe,Faridabad,1.0,3.0,24.0,5.0,34.0,130,1.0
